,RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,WeightClassLabel,BlueHeight,BlueReach,RedHeight,RedReach,ROver35,BOver35,RWinPct,BWinPct,RedStrikingRatio,BlueStrikingRatio,RedTotalFights,BlueTotalFights,RedIsGrappler,BlueIsGrappler,RedIsStriker,BlueIsStriker,RGrapplerVBStriker,BGrapplerVRStriker,RedStrikingEfficiency,BlueStrikingEfficiency,RedTDEfficiency,BlueTDEfficiency,RedEffectiveTD,BlueEffectiveTD,EffectiveTDDif,RedSize,BlueSize,Favorite,FavoriteWins,draw_diff,avg_sig_str_pct_diff,avg_TD_pct_diff,win_by_Decision_Majority_diff,win_by_Decision_Split_diff,win_by_Decision_Unanimous_diff,win_by_TKO_Doctor_Stoppage_diff,odds_diff,ev_diff
0,66,1009,-250.0,215.0,40.0,215.0,USA,Red,True,3,1,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,125,0,6,0,4.41,0.49,0.8,2.61,0.47,6,3,42,3,0,2,4,2,4,0,12,Orthodox,125,34,31,0,-6,-6,-12,-3,-42,-3,-2,-4,7.62,5.08,-3,-4.41,-0.8,-2.61,,,0.0,,,,,,,,,,,,0.0,11.0,,,,,,,,,,,,,,Red,SUB,Rear Naked Choke,2.0,2:05,425.0,300.0,800.0,150.0,2500.0,400.0,350.0,Featherweight,68.0,69.0,65.0,67.0,0,0,0.8,,1.0,0.0,15,0,0,0,0,0,0,0,2.1609,0.0,1.2267,0.0,0.30651340996168586,,,132.0,137.0,Red,1,0,-0.49,-0.47,0,-2,-4,0,465.0,175.0
1,1441,718,-210.0,295.0,47.619,295.0,USA,Red,False,8,1,3,0,8,0,5.5,0.55,0.3,0.77,0.55,8,0,20,0,0,1,4,3,0,0,8,Orthodox,170,0,6,0,4.12,0.61,1.8,1.49,0.29,6,0,11,0,0,0,0,1,5,0,6,Orthodox,170,30,27,0,2,2,2,0,9,0,2,-5,5.08,-7.62,-3,1.38,-1.5,-0.72,,7.0,3.0,,,,,,,,3.0,,,,,,,,,,,,,7.0,,,,,,Red,U-DEC,,5.0,5:00,1500.0,250.0,650.0,180.0,3000.0,240.0,700.0,Women's Strawweight,75.0,74.0,73.0,77.0,0,0,1.0,1.0,0.42827442827442824,0.5717255717255717,6,8,0,0,0,0,0,0,2.5132,3.0250000000000004,0.4321,0.42350000000000004,1.2080536912751678,0.3896103896103896,-0.8184433016647783,150.0,149.0,Red,1,0,-0.05999999999999994,0.26000000000000006,0,1,4,0,505.0,247.381
2,307,67,-380.0,300.0,26.3158,300.0,USA,Red,False,4,1,3,0,4,0,5.13,0.57,0.2,0.45,0.63,4,4,44,0,0,1,4,6,1,0,12,Orthodox,250,0,1,0,5.49,0.6,0.5,0.58,0.21,7,2,33,3,0,0,3,4,2,0,9,Orthodox,245,34,36,0,3,-3,3,2,11,-3,2,-1,7.62,-2.54,2,-0.36,-0.3,-0.13,,3.0,2.0,,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,Red,S-DEC,,3.0,5:00,900.0,-160.0,450.0,1100.0,3000.0,350.0,1100.0,Light Heavyweight,79.0,80.0,76.0,81.0,0,1,0.8181818181818182,0.75,0.5169491525423728,0.48305084745762705,11,16,0,0,0,0,0,0,3.294,2.9240999999999997,0.12179999999999999,0.28350000000000003,0.8620689655172414,0.4444444444444444,-0.417624521072797,157.0,159.0,Red,1,0,-0.030000000000000027,0.42000000000000004,0,1,1,0,680.0,273.6842
3,221,1071,-950.0,625.0,10.5263,625.0,USA,Red,False,2,1,3,2,0,0,3.74,0.44,0.5,0.47,0.25,1,2,7,0,0,0,0,0,1,0,1,Southpaw,145,1,0,0,2.3,0.58,1.6,3.45,0.41,6,2,22,0,1,0,5,0,1,0,7,Southpaw,145,30,36,1,0,-5,-6,0,-15,0,0,0,-2.54,0.0,6,1.44,-1.1,-2.98,,,13.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,Red,KO/TKO,Elbows,3.0,0:39,639.0,-200.0,1100.0,380.0,1400.0,500.0,4000.0,Heavyweight,69.0,70.0,70.0,70.0,0,1,0.7777777777777778,0.3333333333333333,0.3807947019867549,0.6192052980132451,9,3,0,0,0,0,0,0,1.3339999999999999,1.6456000000000002,1.4145,0.1175,0.463768115942029,1.0638297872340425,0.6000616712920135,140.0,139.0,Red,1,0,-0.13999999999999996,-0.15999999999999998,-1,0,-5,0,1575.0,614.4737
4,1183,524,-130.0,110.0,76.9231,110.0,USA,Blue,False,2,1,3,0,1,1,4.41,0.53,0.8,0.75,0.37,3,3,15,0,0,0,0,4,0,0,4,Orthodox,145,0,1,0,6.25,0.46,1.0,1.0,0.41,3,3,17,0,1,0,1,1,2,0,5,Orthodox,145,36,33,0,0,0,-1,0,-2,0,3,-2,2.54,-5.08,-3,-1.84,-0.2,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,3.0,3:21,801.0,275.0,550.0,500.0,700.0,300.0,250.0,Heavyweight,70.0,70.0,69.0,72.0,1,0,0.625,0.5714285714285714,0.5863039399624765,0.41369606003752346,8,7,0,0,1,0,0,0,2.875,2.3373000000000004,0.41,0.27749999999999997,1.0,1.0666666666666667,0.06666666666666665,141.0,140.0,Red,0,1,0.07,-0.03999999999999998,-1,0,-1,0,240.0,33.076899999999995
5,447,129,-380.0,300.0,26.3158,300.0,USA,Red,False,5,1,3,1,0,0,3.24,0.49,0.6,0.46,0.26,3,12,63,1,0,1,1,7,6,0,15,Orthodox,205,0,1,0,4.87,0.5,0.3,0.35,0.28,6,4,21,2,0,1,1,4,1,0,7,Southpaw,205,34,36,1,-1,-3,8,8,42,-1,3,5,0.0,-2.54,2,-1.63,0.3,0.11,,13.0,12.0,,,,,,12.0,,,,,,,,,,,,,13.0,,,,,,,,Red,KO/TKO,Punches,2.0,4:46,586.0,250.0,750.0,1200.0,1200.0,-125.0,800.0,Catch Weight,76.0,76.0,76.0,77.0,0,1,0.6363636363636364,0.5555555555555556,0.6004932182490753,0.39950678175092486,11,27,0,0,0,0,0,0,2.435,1.5876000000000001,0.098,0.11960000000000001,0.8571428571428571,1.3043478260869565,0.44720496894409945,153.0,152.0,Red,1,0,-0.010000000000000009,-0.020000000000000018,0,0,0,0,680.0,273.6842
6,1575,1754,-650.0,-162.0,15.3846,61.7284,USA,Red,False,8,1,3,0,4,0,3.11,0.61,0.6,4.89,0.65,4,1,12,0,0,0,3,1,0,0,4,Orthodox,170,1,0,0,5.07,0.52,0.6,1.0,0.53,6,6,47,0,0,1,1,8,5,0,15,Orthodox,170,33,33,-1,4,-2,-11,-5,-35,0,-7,-5,5.08,5.08,0,-1.96,0.0,3.89,,,14.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,Red,SUB,Anaconda Choke,1.0,0:52,52.0,450.0,130.0,450.0,900.0,600.0,450.0,Women's Strawweight,73.0,77.0,71.0,75.0,0,0,0.7142857142857143,0.8,0.6198044009779952,0.3801955990220049,21,5,0,1,0,0,0,0,2.6364,1.8970999999999998,0.53,3.1785,0.6,0.12269938650306748,-0.4773006134969325,146.0,150.0,Red,1,0,0.08999999999999997,0.12,0,-1,2,0,488.0,46.3438
7,1165,79,-238.0,195.0,42.0168,195.0,USA,Red,False,2,1,3,0,1,0,4.61,0.52,0.7,2.31,0.27,9,4,57,5,0,2,7,2,4,0,16,Orthodox,145,0,8,0,4.43,0.48,0.2,4.75,0.46,8,0,24,0,0,1,7,0,0,0,8,Orthodox,145,30,35,0,-7,1,8,4,33,5,2,4,0.0,-2.54,5,0.18,0.5,-2.44,,9.0,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,9.0,,,,Red,U-DEC,,3.0,5:00,900.0,-135.0,275.0,1600.0,1100.0,550.0,1600.0,Heavyweight,67.0,71.0,67.0,72.0,0,0,1.0,0.8,0.49004424778761063,0.5099557522123894,8,20,1,0,0,0,0,0,2.1264,2.3972,2.185,0.6237,0.042105263157894736,0.303030303030303,0.2609250398724082,139.0,138.0,Red,1,0,0.040000000000000036,-0.19,0,1,0,0,433.0,152.9832
8,1291,247,150.0,-180.0,150.0,55.5556,USA,Blue,False,8,1,3,0,3,0,5.44,0.53,0.5,0.96,0.23,3,1,16,0,0,0,1,3,2,0,6,Orthodox,170,0,3,0,4.38,0.47,0.6,0.72,0.39,4,5,43,0,0,1,6,3,3,0,13,Orthodox,170,34,30,0,0,-1,-7,-4,-27,0,0,-1,-5.08,-2.54,-4,1.06,-0.1,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,400.0,185.0,1000.0,550.0,450.0,300.0,Women's Strawweight,73.0,77.0,75.0,78.0,0,0,0.7222222222222222,0.8571428571428571,0.4460285132382892,0.5539714867617108,18,7,0,0,0,0,0,0,2.0585999999999998,2.8832000000000004,0.2808,0.2208,0.8333333333333334,0.5208333333333334,-0.3125,153.0,150.0,Blue,1,0,0.06000000000000005,-0.16,0,-1,-5,0,-330.0,-94.4444
9,297,589,-112.0,-108.0,89.2857,92.5926,USA,Blue,False,1,1,3,0,1,0,3.41,0.47,0.1,1.79,0.26,2,8,44,0,0,1,3,4,0,0,8,Southpaw,185,0,1,0,3.18,0.45,0.8,3.44,0.42,9,7,46,5,0,0,5,4,3,0,12,Orthodox,185,40,37,0,0,-7,-4,1,-2,-5,0,-3,-2.54,-7.62,-3,0.23,-0.7,-1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2.0,4:51,591.0,150.0,200.0,1000.0,1800.0,650.0,380.0,Welterweight,73.0,75.0,74.0,78.0,1,1,0.631578947368421,0.5,0.48254931714719274,0.5174506828528073,19,16,0,0,0,0,0,0,1.431,1.6027,1.4447999999999999,0.46540000000000004,0.23255813953488372,0.0558659217877095,-0.17669221774717422,152.0,148.0,Red,0,0,0.019999999999999962,-0.15999999999999998,0,1,-2,0,4.0,3.306899999999999
