RedFighter,BlueFighter,Winner,RMatchWCRank,BMatchWCRank,RedWins,RedLosses,BlueWins,BlueLosses,WinDif,LossDif,RedHeight,BlueHeight,RedReach,BlueReach,ReachDif,RedAvgSigStrLanded,RedAvgSigStrPct,BlueAvgSigStrLanded,BlueAvgSigStrPct,SigStrDif,RedStrikingRatio,BlueStrikingRatio,RedOdds,BlueOdds,RKOOdds,BKOOdds,RSubOdds,BSubOdds,RedDecOdds,BlueDecOdds,Favorite
Mateusz Gamrot,Ludovit Klein,Red ,7,,24,3,23,4,-1,1,70,67,70.5,72.5,2,3.23,0.5,3.81,0.54,0.58,0.4588068182,0.5411931818,-162,136,1400,380,900,1600,-120,300,Mateusz Gamrot
Billy Ray Goff,Ramiz Brahimaj,Blue ,,,9,3,11,5,2,2,70,70,72.5,72,-0.5,8.56,0.46,2.26,0.44,-6.3,0.7911275416,0.2088724584,-360,285,125,1100,800,550,200,1000,Billy Ray Goff
Dustin Jacoby,Bruno Lopes,Red ,,,20,9,14,1,-6,-8,75,74,76,74.5,-1.5,5.33,0.47,2.89,0.43,-2.44,0.6484184915,0.3515815085,,,,,,,,,
Ketlen Vieira,Macy Chiasson,Red ,3,5,14,4,11,3,-3,-1,68,71,68,72,4,2.92,0.41,3.77,0.46,0.85,0.4364723468,0.5635276532,100,-120,1200,800,800,1000,150,140,Macy Chiasson
Zachary Reese,Duško Todorovic,Red ,,,8,2,12,5,4,3,76,73,77,74,-3,4.94,0.58,5.35,0.57,0.41,0.4800777454,0.5199222546,,,,,,,,,
Jafel Filho,Allan Nascimento,Blue ,,,16,3,20,6,4,3,67,68,68.5,69.5,1,2.36,0.41,3.21,0.61,0.85,0.4236983842,0.5763016158,124,-148,400,1200,600,400,450,130,Allan Nascimento
Kurt Holobaugh,Jordan Leavitt,Blue ,,,22,9,11,3,-11,-6,71,69,70,71,1,4.65,0.45,2.55,0.61,-2.1,0.6458333333,0.3541666667,190,-230,550,1100,800,300,500,120,Jordan Leavitt
Bolaji Oki,Michael Aswell,Red ,,,9,2,10,2,1,0,70,68,73,69,-4,5.63,0.45,10.33,0.5,4.7,0.3527568922,0.6472431078,145,-175,,,,,,,Michael Aswell
Rayanne Dos Santos,Alice Ardelean,Blue ,,,14,8,9,7,-5,-1,62,63,62,62,0,4.36,0.43,4.97,0.45,0.61,0.4673097535,0.5326902465,-265,215,1800,1800,500,1400,-160,300,Rayanne Dos Santos
Merab Dvalishvili,Sean OMalley,Red ,0,1,19,4,18,2,-1,-2,66,71,68,72,4,4.36,0.42,6.7,0.61,2.34,0.3942133816,0.6057866184,-325,260,,,,,,,Merab Dvalishvili
Julianna Peña,Kayla Harrison,Blue ,0,2,13,5,18,1,5,-4,66,68,69,66,-3,3.25,0.44,4.87,0.64,1.62,0.4002463054,0.5997536946,440,-600,1800,275,1200,140,1200,225,Kayla Harrison
Kelvin Gastelum,Joe Pyfer,Blue ,,,20,9,13,3,-7,-6,69,74,71.5,75,3.5,3.74,0.42,3.72,0.41,-0.02,0.5013404826,0.4986595174,310,-395,750,250,2500,330,650,150,Joe Pyfer
Mario Bautista,Patchy Mix,Red ,10,,15,2,0,0,-15,-2,69,68,72,72,0,5.33,0.47,0,0,-5.33,1,0,150,-180,,,,,,,Patchy Mix
Vincente Luque,Kevin Holland,Blue ,14,,23,10,27,13,4,3,71,75,75.5,81,5.5,5.05,0.51,4.19,0.5,-0.86,0.5465367965,0.4534632035,525,-750,900,130,700,550,550,275,Kevin Holland
Bruno Silva,Joshua Van,Blue ,12,14,14,6,14,2,0,-4,64,65,65,65,0,3.54,0.49,8.1,0.54,4.56,0.3041237113,0.6958762887,400,-535,,,,,,,Joshua Van
